params,accuracy
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 64, 'n_d': 64, 'n_steps': 3}",0.7489599299321218
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 64, 'n_d': 64, 'n_steps': 5}",0.7560761988176046
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 64, 'n_d': 128, 'n_steps': 3}",0.7535581344427414
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 64, 'n_d': 128, 'n_steps': 5}",0.7578278957740311
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 128, 'n_d': 64, 'n_steps': 3}",0.7513685132472082
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 128, 'n_d': 64, 'n_steps': 5}",0.7538865776220713
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 128, 'n_d': 128, 'n_steps': 3}",0.7587037442522444
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.01, 'n_a': 128, 'n_d': 128, 'n_steps': 5}",0.7503831837092183
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 64, 'n_d': 64, 'n_steps': 3}",0.753667615502518
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 64, 'n_d': 64, 'n_steps': 5}",0.758484782132691
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 64, 'n_d': 128, 'n_steps': 3}",0.7606744033282242
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 64, 'n_d': 128, 'n_steps': 5}",0.7516969564265382
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 64, 'n_steps': 3}",0.7608933654477775
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 64, 'n_steps': 5}",0.7620976571053207
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 128, 'n_steps': 3}",0.7541055397416248
"{'batch_size': 256, 'gamma': 1.2, 'lr': 0.02, 'n_a': 128, 'n_d': 128, 'n_steps': 5}",0.7599080359097876
